cik,company,event_type,event_date,as_of_date,date_basis,source_accession,source_url,cohort,verification
1830180,"Legacy EJY, Inc.",chapter11,2022-06-30,2022-06-30,petition_date_from_8k_text,0001193125-22-185628,https://www.sec.gov/Archives/edgar/data/1830180/000119312522185628/d316004d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
887921,REVLON INC /DE/,chapter11,2022-06-15,2022-06-16,petition_date_from_8k_text,0001140361-22-023182,https://www.sec.gov/Archives/edgar/data/887921/000114036122023182/brhc10038750_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1084384,PARETEUM Corp,chapter11,2022-05-15,2022-05-19,petition_date_from_8k_text,0001193125-22-155078,https://www.sec.gov/Archives/edgar/data/1084384/000119312522155078/d253103d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1655075,"Armstrong Flooring, Inc.",chapter11,2022-05-08,2022-05-12,petition_date_from_8k_text,0001193125-22-148844,https://www.sec.gov/Archives/edgar/data/1655075/000119312522148844/d361921d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1587246,"Cypress Environmental Partners, L.P.",chapter11,2022-05-08,2022-05-11,petition_date_from_8k_text,0001387131-22-005994,https://www.sec.gov/Archives/edgar/data/1587246/000138713122005994/celp-8k_050622.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1522690,"GWG Holdings, Inc.",chapter11,2022-04-20,2022-04-20,8k_filing_date_fallback,0001213900-22-020675,https://www.sec.gov/Archives/edgar/data/1522690/000121390022020675/ea158650-8k_gwgholdings.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
866609,ION GEOPHYSICAL CORP,chapter11,2022-04-13,2022-04-13,8k_filing_date_fallback,0001437749-22-008791,https://www.sec.gov/Archives/edgar/data/866609/000143774922008791/io20220411_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1525773,Intelsat S.A.,chapter11,2021-12-20,2021-12-20,8k_filing_date_fallback,0001193125-21-362431,https://www.sec.gov/Archives/edgar/data/1525773/000119312521362431/d274948d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
352998,"Teligent, Inc.",chapter11,2021-10-15,2021-10-15,8k_filing_date_fallback,0001104659-21-126768,https://www.sec.gov/Archives/edgar/data/352998/000110465921126768/tm2129875d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1648428,"Sequential Brands Group, Inc.",chapter11,2021-08-31,2021-09-01,petition_date_from_8k_text,0001104659-21-111773,https://www.sec.gov/Archives/edgar/data/1648428/000110465921111773/tm2126672d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1109189,"BASIC ENERGY SERVICES, INC.",chapter11,2021-08-18,2021-08-18,8k_filing_date_fallback,0001104659-21-107217,https://www.sec.gov/Archives/edgar/data/1109189/000110465921107217/tm2125297d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1594686,WASHINGTON PRIME GROUP INC.,chapter11,2021-06-14,2021-06-14,8k_filing_date_fallback,0001437749-21-014660,https://www.sec.gov/Archives/edgar/data/1594686/000143774921014660/wpg20210611_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1583077,"Hospitality Investors Trust, Inc.",chapter11,2021-05-19,2021-05-19,petition_date_from_8k_text,0001104659-21-069107,https://www.sec.gov/Archives/edgar/data/1583077/000110465921069107/tm2116811d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1036848,Mega Matrix Corp.,chapter11,2021-03-29,2021-03-30,petition_date_from_8k_text,0001654954-21-003441,https://www.sec.gov/Archives/edgar/data/1036848/000165495421003441/ACY8KReorg.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1725526,HighPoint Resources Corp,chapter11,2021-03-14,2021-03-15,petition_date_from_8k_text,0001193125-21-080407,https://www.sec.gov/Archives/edgar/data/1725526/000119312521080407/d156524d8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
