cik,tier,severity,signal,event_date,as_of_date,source_form,source_accession,noisy
720154,early_warning,1,auditor_change,2021-11-05,2021-11-05,8-K,0001558370-21-014866,1
720154,stress,2,restatement_non_reliance,2021-12-16,2021-12-16,8-K,0001558370-21-016882,0
720154,early_warning,1,late_quarterly_report,2022-02-15,2022-02-15,NT 10-Q,0001104659-22-023850,0
720154,early_warning,1,exit_or_disposal_costs,2022-06-17,2022-06-17,8-K,0001104659-22-072341,1
720154,early_warning,1,material_impairment,2022-06-17,2022-06-17,8-K,0001104659-22-072341,1
720154,early_warning,1,exit_or_disposal_costs,2022-07-25,2022-07-25,8-K/A,0001104659-22-082461,1
720154,early_warning,1,material_impairment,2022-07-25,2022-07-25,8-K/A,0001104659-22-082461,1
720154,early_warning,1,late_annual_report,2022-12-15,2022-12-15,NT 10-K,0001104659-22-127342,0
720154,early_warning,1,late_quarterly_report,2024-05-13,2024-05-13,NT 10-Q,0001628280-24-022899,0
720154,stress,2,listing_rule_failure,2026-01-07,2026-01-07,8-K,0001628280-26-001160,0
720154,default,4,chapter11_petition,2026-06-03,2026-06-03,8-K,0001104659-26-069950,0
720154,near_default,3,debt_acceleration,2026-06-03,2026-06-03,8-K,0001104659-26-069950,0
720154,near_default,3,delisting_by_exchange,2026-07-10,2026-07-10,25-NSE,0001354457-26-000660,0
720154,early_warning,1,auditor_change,2026-07-29,2026-07-29,8-K15D5,0001104659-26-087684,1
723125,early_warning,1,exit_or_disposal_costs,2016-06-30,2016-06-30,8-K,0000723125-16-000198,1
723125,near_default,3,delisting_filed,2019-08-05,2019-08-05,25,0000723125-19-000059,0
723125,early_warning,1,exit_or_disposal_costs,2022-12-21,2022-12-21,8-K,0000723125-22-000070,1
726728,near_default,3,delisting_by_exchange,2017-04-07,2017-04-07,25-NSE,0000876661-17-000201,0
726728,near_default,3,delisting_by_exchange,2024-09-30,2024-09-30,25-NSE,0000876661-24-000885,0
728535,early_warning,1,auditor_change,2021-06-28,2021-06-28,8-K,0001437749-21-015782,1
730255,early_warning,1,auditor_change,2015-08-31,2015-08-31,8-K,0001206774-15-002980,1
730255,early_warning,1,auditor_change,2017-08-16,2017-08-16,8-K,0001206774-17-002474,1
730255,early_warning,1,exit_or_disposal_costs,2019-03-04,2019-03-04,8-K,0001564590-19-006036,1
730255,early_warning,1,exit_or_disposal_costs,2021-03-17,2021-03-17,8-K,0001564590-21-013689,1
730255,stress,2,listing_rule_failure,2023-08-23,2023-08-23,8-K,0000950170-23-044033,0
730255,stress,2,listing_rule_failure,2024-01-19,2024-01-19,8-K,0000950170-24-005811,0
730255,stress,2,listing_rule_failure,2024-04-24,2024-04-24,8-K,0000950170-24-047631,0
730255,early_warning,1,late_annual_report,2024-05-30,2024-05-30,NT 10-K,0000950170-24-066666,0
730255,default,4,chapter11_petition,2024-06-03,2024-06-03,8-K,0000950170-24-067683,0
730255,stress,2,listing_rule_failure,2024-06-03,2024-06-03,8-K,0000950170-24-068057,0
730255,near_default,3,delisting_by_exchange,2024-06-28,2024-06-28,25-NSE,0001354457-24-000448,0
732712,near_default,3,delisting_by_exchange,2019-03-11,2019-03-11,25-NSE,0000876661-19-000208,0
732712,near_default,3,delisting_by_exchange,2020-06-15,2020-06-15,25-NSE,0000876661-20-000506,0
732712,near_default,3,delisting_by_exchange,2020-06-15,2020-06-15,25-NSE,0000876661-20-000505,0
732712,near_default,3,delisting_by_exchange,2024-03-01,2024-03-01,25-NSE,0000876661-24-000125,0
732712,near_default,3,delisting_by_exchange,2024-06-18,2024-06-18,25-NSE,0000876661-24-000495,0
732712,near_default,3,delisting_by_exchange,2025-04-02,2025-04-02,25-NSE,0000876661-25-000255,0
732712,near_default,3,delisting_by_exchange,2025-09-03,2025-09-03,25-NSE,0000876661-25-000633,0
732717,near_default,3,delisting_by_exchange,2015-04-28,2015-04-28,25-NSE,0000876661-15-000187,0
732717,near_default,3,delisting_by_exchange,2017-05-02,2017-05-02,25-NSE,0000876661-17-000235,0
732717,near_default,3,debt_acceleration,2018-04-23,2018-04-23,8-K,0001193125-18-126146,0
732717,near_default,3,delisting_by_exchange,2018-05-23,2018-05-23,25-NSE,0000876661-18-000609,0
732717,near_default,3,delisting_by_exchange,2018-05-23,2018-05-23,25-NSE,0000876661-18-000608,0
732717,near_default,3,delisting_by_exchange,2018-05-23,2018-05-23,25-NSE,0000876661-18-000607,0
732717,near_default,3,delisting_by_exchange,2018-05-23,2018-05-23,25-NSE,0000876661-18-000597,0
732717,near_default,3,delisting_by_exchange,2018-05-23,2018-05-23,25-NSE,0000876661-18-000596,0
732717,near_default,3,delisting_by_exchange,2019-06-05,2019-06-05,25-NSE,0000876661-19-000542,0
732717,near_default,3,delisting_by_exchange,2020-08-03,2020-08-03,25-NSE,0000876661-20-000606,0
732717,near_default,3,delisting_by_exchange,2020-12-04,2020-12-04,25-NSE,0000876661-20-001119,0
732717,near_default,3,delisting_by_exchange,2021-12-17,2021-12-17,25-NSE,0000876661-21-001770,0
732717,near_default,3,delisting_by_exchange,2022-06-01,2022-06-01,25-NSE,0000876661-22-000465,0
732717,near_default,3,delisting_by_exchange,2023-03-15,2023-03-15,25-NSE,0000876661-23-000238,0
732717,near_default,3,delisting_by_exchange,2023-05-19,2023-05-19,25-NSE,0000876661-23-000415,0
