cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
1157817,"SITO MOBILE, LTD.",7389,2020-10-15,2020-10-15,0001213900-20-031348,https://www.sec.gov/Archives/edgar/data/1157817/000121390020031348/ea128263-8k_sitomobile.htm,2020-10-08,petition_date_from_8k_text,5534818.0,45,2020-02-11,True,True,False,rejected,"total assets below 50,000,000"
105608,AG&E HOLDINGS INC.,3663,2018-10-18,2018-10-18,0001437749-18-018451,https://www.sec.gov/Archives/edgar/data/105608/000143774918018451/agnu20181018_8k.htm,2018-10-18,8k_filing_date_fallback,4479000.0,94,2018-08-14,True,True,False,rejected,"total assets below 50,000,000"
1549145,"BLUE BIOFUELS, INC.",2860,2018-10-23,2018-10-23,0001493152-18-014813,https://www.sec.gov/Archives/edgar/data/1549145/000149315218014813/form8-k.htm,2018-10-22,petition_date_from_8k_text,4403889.0,24,2018-09-27,True,True,False,rejected,"total assets below 50,000,000"
1013238,ARADIGM CORP,3845,2019-02-19,2019-02-19,0001193125-19-042635,https://www.sec.gov/Archives/edgar/data/1013238/000119312519042635/d704103d8k.htm,2019-02-19,8k_filing_date_fallback,3758000.0,89,2018-11-15,True,True,False,rejected,"total assets below 50,000,000"
1459482,"Chineseinvestors.com, Inc.",8200,2020-06-19,2020-06-19,0001683168-20-001998,https://www.sec.gov/Archives/edgar/data/1459482/000168316820001998/chinese_8k-061820.htm,2020-06-18,petition_date_from_8k_text,2655736.0,38,2020-04-14,True,True,False,rejected,"total assets below 50,000,000"
1407805,ROCKIES REGION 2007 LP,1311,2018-11-05,2018-11-05,0001193125-18-318530,https://www.sec.gov/Archives/edgar/data/1407805/000119312518318530/d614598d8k.htm,2018-11-05,8k_filing_date_fallback,2325636.0,41,2018-08-14,True,True,False,rejected,"total assets below 50,000,000"
1386026,"ZENERGY BRANDS, INC.",7372,2019-11-04,2019-11-04,0001493152-19-016398,https://www.sec.gov/Archives/edgar/data/1386026/000149315219016398/form8-k.htm,2019-11-04,8k_filing_date_fallback,2123997.0,8,2019-05-20,True,True,False,rejected,"total assets below 50,000,000"
22872,"Advanzeon Solutions, Inc.",8000,2020-09-11,2020-09-11,0001731122-20-000942,https://www.sec.gov/Archives/edgar/data/22872/000173112220000942/e2105_8k.htm,2020-09-07,petition_date_from_8k_text,2010404.0,83,2020-08-19,True,True,False,rejected,"total assets below 50,000,000"
1429896,"ACTIVECARE, INC.",3669,2018-07-18,2018-07-17,0001096906-18-000388,https://www.sec.gov/Archives/edgar/data/1429896/000109690618000388/activecare.htm,2018-07-17,8k_filing_date_fallback,1894795.0,35,2018-01-31,True,True,False,rejected,"total assets below 50,000,000"
1505497,"BioRestorative Therapies, Inc.",8090,2020-03-20,2020-03-20,0001021771-20-000036,https://www.sec.gov/Archives/edgar/data/1505497/000102177120000036/form8kdated031620.htm,2020-03-20,petition_date_from_8k_text,1458186.0,34,2019-11-13,True,True,False,rejected,"total assets below 50,000,000"
1376912,Rockies Region 2006 Limited Partnership,1311,2018-11-05,2018-11-05,0001193125-18-318533,https://www.sec.gov/Archives/edgar/data/1376912/000119312518318533/d650984d8k.htm,2018-11-05,8k_filing_date_fallback,1139120.0,44,2018-08-14,True,True,False,rejected,"total assets below 50,000,000"
1435181,Pharmagreen Biotech Inc.,4581,2020-08-12,2020-08-12,0001273511-20-000169,https://www.sec.gov/Archives/edgar/data/1435181/000127351120000169/8kpbi.htm,2020-08-07,petition_date_from_8k_text,804500.0,9,2020-05-19,True,True,False,rejected,"total assets below 50,000,000"
1455926,IRONCLAD ENCRYPTION Corp,7372,2020-09-01,2020-09-01,0001052918-20-000220,https://www.sec.gov/Archives/edgar/data/1455926/000105291820000220/irnc8ksept1-20.htm,2020-08-28,petition_date_from_8k_text,802118.0,42,2020-02-19,True,True,False,rejected,"total assets below 50,000,000"
1561551,"Enumeral Biomedical Holdings, Inc.",2834,2018-01-29,2018-01-29,0001615774-18-000637,https://www.sec.gov/Archives/edgar/data/1561551/000161577418000637/s108535_8-k.htm,2018-01-29,8k_filing_date_fallback,528540.0,18,2017-11-14,True,True,False,rejected,"total assets below 50,000,000"
1582919,Flitways Technology Inc.,7389,2018-10-15,2018-10-15,0001683168-18-003070,https://www.sec.gov/Archives/edgar/data/1582919/000168316818003070/flit_8k.htm,2018-10-15,8k_filing_date_fallback,183000.0,16,2018-10-05,True,True,False,rejected,"total assets below 50,000,000"
1719195,UBS Commercial Mortgage Trust 2017-C5,6189,2018-01-03,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1721905,UBS Commercial Mortgage Trust 2017-C6,6189,2018-01-03,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1688451,Wells Fargo Commercial Mortgage Trust 2016-LC25,6189,2018-01-05,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1311230,"TerraVia Holdings, Inc.",2860,2018-01-18,2018-01-18,0001193125-18-013324,https://www.sec.gov/Archives/edgar/data/1311230/000119312518013324/d521852d8k.htm,,,,24,2017-05-05,True,True,True,needs_review,"parsed petition 2017-08-02 is 169d from disclosure 2018-01-18; 8-K may concern a prior case, or the date is mis-parsed"
1723535,Mercedes-Benz Auto Lease Trust 2018-A,6189,2018-01-19,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
