late_filing,auditor_change,delisting,covenant,impairment,material_weakness,going_concern,cik,as_of,label,fold
0,0,0,0,0,0,0,1725057,2022-01-01,0,train
0,0,0,0,0,0,0,796343,2022-07-01,0,train
1,0,0,0,0,0,0,1629665,2022-10-01,0,train
1,0,1,0,0,0,0,1785592,2022-07-01,0,train
0,0,0,0,0,0,0,25895,2020-01-01,0,train
1,0,0,0,0,0,0,1034957,2022-01-01,0,train
0,0,1,0,0,1,1,1427925,2023-04-01,0,train
1,1,0,0,0,0,0,919175,2023-01-01,0,train
1,0,1,0,0,1,0,1550603,2021-10-01,0,train
0,0,0,0,0,0,0,1013272,2019-04-01,0,train
0,0,0,0,0,0,0,810332,2019-10-01,0,train
1,1,0,0,0,0,1,1582249,2023-04-01,0,train
0,0,0,0,0,1,0,1875444,2022-07-01,0,train
0,0,0,0,0,0,0,926326,2020-01-01,0,train
0,0,0,0,0,0,0,91576,2022-10-01,0,train
0,0,0,0,0,0,0,1391933,2019-10-01,0,train
1,0,1,0,0,1,1,1566826,2020-01-01,0,train
0,0,0,0,0,0,0,39263,2020-10-01,0,train
0,0,0,0,0,0,0,700923,2019-10-01,0,train
1,1,0,0,0,0,0,1835378,2022-07-01,0,train
0,0,0,0,0,0,0,1620533,2020-10-01,0,train
0,0,0,0,0,0,0,1378946,2022-04-01,0,train
1,0,1,0,0,1,0,889348,2020-07-01,0,train
1,1,0,0,0,0,0,1569994,2021-07-01,0,train
0,0,0,0,0,1,1,1583648,2021-04-01,0,train
0,0,0,0,0,1,0,1239819,2021-01-01,0,train
1,1,0,0,0,0,1,1127475,2021-01-01,0,train
1,1,1,0,0,1,0,1823593,2023-01-01,0,train
0,1,1,0,0,0,0,1762303,2021-01-01,0,train
0,0,1,0,0,0,0,1623613,2022-01-01,0,train
0,0,0,0,0,0,0,1050825,2020-07-01,0,train
0,0,0,0,0,0,0,1556593,2019-04-01,0,train
1,0,1,0,0,1,1,1846235,2023-04-01,0,train
1,1,1,0,0,1,0,1819395,2022-10-01,0,train
1,0,0,0,0,1,0,1474439,2020-07-01,0,train
0,0,0,0,0,0,0,1662774,2020-07-01,0,train
0,0,0,0,0,0,0,6951,2019-10-01,0,train
0,0,0,0,0,0,1,743758,2020-10-01,0,train
0,0,0,0,0,0,0,1050825,2021-10-01,0,train
0,0,0,0,0,0,1,1701859,2020-04-01,0,train
1,1,0,0,0,1,1,1756180,2021-04-01,0,train
0,0,0,0,0,1,1,1399306,2022-01-01,0,train
0,0,0,0,0,0,0,1692951,2022-01-01,0,train
1,1,0,0,0,0,1,797564,2021-07-01,0,train
0,0,0,0,0,0,1,1499849,2021-01-01,0,train
0,0,0,0,0,0,0,819050,2019-07-01,0,train
0,0,1,0,0,1,1,1261249,2023-04-01,0,train
0,0,0,0,0,0,0,1376227,2021-10-01,0,train
1,1,1,0,0,1,0,1708341,2023-04-01,0,train
0,1,0,0,0,0,0,712537,2019-01-01,0,train
0,0,0,0,0,0,0,891166,2019-10-01,0,train
0,0,0,0,0,0,0,1311370,2021-01-01,0,train
0,0,0,0,0,1,0,946563,2020-04-01,0,train
0,0,0,0,0,0,0,1304492,2021-10-01,0,train
1,1,1,0,0,1,1,1507605,2019-01-01,0,train
0,0,0,0,0,0,1,704562,2019-04-01,0,train
1,0,0,0,0,1,1,1746214,2020-07-01,0,train
0,0,0,0,0,0,0,1487952,2022-04-01,0,train
0,0,0,0,0,0,0,1410636,2023-01-01,0,train
0,0,0,0,0,0,0,1569994,2023-01-01,0,train
0,0,0,0,0,0,0,898770,2021-04-01,0,train
0,1,0,0,0,0,1,1694617,2022-01-01,0,train
0,0,0,0,0,0,1,1762303,2022-04-01,0,train
0,0,0,0,0,1,1,1681348,2023-01-01,0,train
0,0,0,0,0,1,0,1656328,2019-04-01,0,train
0,0,0,0,0,0,0,1456189,2019-07-01,0,train
1,0,0,0,0,1,1,1798562,2021-07-01,0,train
1,0,0,0,0,0,0,1680873,2020-10-01,0,train
1,1,0,0,0,0,0,1162283,2022-07-01,0,train
0,1,0,0,0,0,0,1533615,2020-07-01,0,train
0,0,0,0,0,0,0,1468091,2020-07-01,0,train
0,0,0,0,0,0,0,203527,2019-10-01,0,train
0,0,0,0,0,0,0,801337,2022-01-01,0,train
0,0,0,0,0,0,0,1521332,2021-01-01,0,train
0,1,1,0,0,1,0,1819404,2022-04-01,0,train
0,0,0,0,0,0,0,815556,2022-01-01,0,train
0,0,1,1,0,1,1,1784567,2023-04-01,0,train
0,0,0,0,0,1,0,1083446,2020-01-01,0,train
0,0,0,0,0,0,0,1566912,2022-10-01,0,train
1,1,1,0,0,0,1,1604191,2022-07-01,0,train
0,0,0,0,0,0,0,1000209,2022-01-01,0,train
0,0,1,0,0,0,0,1533932,2020-07-01,0,train
0,0,0,0,0,0,0,1038357,2022-01-01,0,train
1,0,0,0,0,1,1,1844419,2023-01-01,0,train
