cik,as_of,index_ok,text_ok,late_filing,covenant,delisting,auditor_change,restatement,impairment,going_concern,material_weakness,label
1254699,2025-07-01,True,True,0,0,0,0,0,0,0,0,1
1326380,2025-07-01,True,True,0,0,0,1,0,0,0,0,0
1355096,2025-07-01,True,True,0,0,1,0,0,0,0,0,1
1455684,2025-07-01,True,True,0,0,1,0,0,1,0,0,1
1456772,2025-07-01,True,True,0,0,1,0,0,0,1,0,1
1484769,2025-07-01,True,True,0,0,0,1,0,0,0,1,0
1510295,2025-07-01,True,True,0,0,0,0,0,0,0,0,0
1519061,2025-07-01,True,True,0,0,0,0,0,0,0,0,1
1532286,2025-07-01,True,True,0,0,1,0,0,0,0,0,1
1705012,2025-07-01,True,True,0,0,0,0,0,0,0,0,1
1744489,2025-07-01,True,True,0,0,0,0,0,1,0,0,0
1758057,2025-07-01,True,True,1,0,1,1,0,0,0,0,1
1808220,2025-07-01,True,True,1,0,0,0,0,0,1,0,1
1893311,2025-07-01,True,True,1,0,1,1,1,0,1,1,1
1901799,2025-07-01,True,True,1,0,0,1,0,0,0,1,1
